dataset,var,type,n_rows,n_missing,pct_missing,n_unique,label
DR1TOT_J,SEQN,numeric,8704,0,0,8704,Respondent sequence number
DR1TOT_J,WTDRD1,numeric,8704,0,0,7234,Dietary day one sample weight
DR1TOT_J,WTDR2D,numeric,8704,1063,12.212775735294118,6392,Dietary two-day sample weight
DR1TOT_J,DR1DRSTZ,numeric,8704,0,0,4,Dietary recall status
DR1TOT_J,DR1EXMER,numeric,8704,976,11.213235294117647,13,Interviewer ID code
DR1TOT_J,DRABF,numeric,8704,1063,12.212775735294118,2,Breast-fed infant (either day)
DR1TOT_J,DRDINT,numeric,8704,1063,12.212775735294118,2,Number of days of intake
DR1TOT_J,DR1DBIH,numeric,8704,1246,14.315257352941176,102,# of days b/w intake and HH interview
DR1TOT_J,DR1DAY,numeric,8704,976,11.213235294117647,7,Intake day of the week
DR1TOT_J,DR1LANG,numeric,8704,968,11.121323529411764,6,Language respondent used mostly
DR1TOT_J,DR1MRESP,numeric,8704,1066,12.247242647058824,11,Main respondent for this interview
DR1TOT_J,DR1HELP,numeric,8704,1072,12.316176470588236,10,Helped in responding for this interview
DR1TOT_J,DBQ095Z,numeric,8704,976,11.213235294117647,5,Type of table salt used
DR1TOT_J,DBD100,numeric,8704,3782,43.451286764705884,4,How often add salt to food at table
DR1TOT_J,DRQSPREP,numeric,8704,976,11.213235294117647,5,Salt used in preparation?
DR1TOT_J,DR1STY,numeric,8704,976,11.213235294117647,3,Salt used at table yesterday?
DR1TOT_J,DR1SKY,numeric,8704,7529,86.50045955882354,4,Type of salt used yesterday
DR1TOT_J,DRQSDIET,numeric,8704,976,11.213235294117647,3,On special diet?
DR1TOT_J,DRQSDT1,numeric,8704,8229,94.54273897058823,1,Weight loss/Low calorie diet
DR1TOT_J,DRQSDT2,numeric,8704,8609,98.90854779411765,1,Low fat/Low cholesterol diet
DR1TOT_J,DRQSDT3,numeric,8704,8595,98.74770220588235,1,Low salt/Low sodium diet
DR1TOT_J,DRQSDT4,numeric,8704,8664,99.5404411764706,1,Sugar free/Low sugar diet
DR1TOT_J,DRQSDT5,numeric,8704,8702,99.97702205882354,1,Low fiber diet
DR1TOT_J,DRQSDT6,numeric,8704,8700,99.95404411764706,1,High fiber diet
DR1TOT_J,DRQSDT7,numeric,8704,8565,98.40303308823529,1,Diabetic diet
DR1TOT_J,DRQSDT8,numeric,8704,8681,99.7357536764706,1,Weight gain/Muscle building diet
DR1TOT_J,DRQSDT9,numeric,8704,8619,99.0234375,1,Low carbohydrate diet
DR1TOT_J,DRQSDT10,numeric,8704,8678,99.70128676470588,1,High protein diet
DR1TOT_J,DRQSDT11,numeric,8704,8688,99.81617647058823,1,Gluten-free/Celiac diet
DR1TOT_J,DRQSDT12,numeric,8704,8694,99.88511029411765,1,Renal/Kidney diet
DR1TOT_J,DRQSDT91,numeric,8704,8660,99.49448529411765,1,Other special diet
DR1TOT_J,DR1TNUMF,numeric,8704,1063,12.212775735294118,44,Number of foods/beverages reported
DR1TOT_J,DR1TKCAL,numeric,8704,1220,14.016544117647058,3062,Energy (kcal)
DR1TOT_J,DR1TPROT,numeric,8704,1220,14.016544117647058,6592,Protein (gm)
DR1TOT_J,DR1TCARB,numeric,8704,1220,14.016544117647058,7164,Carbohydrate (gm)
DR1TOT_J,DR1TSUGR,numeric,8704,1220,14.016544117647058,6914,Total sugars (gm)
DR1TOT_J,DR1TFIBE,numeric,8704,1220,14.016544117647058,1247,Dietary fiber (gm)
DR1TOT_J,DR1TTFAT,numeric,8704,1220,14.016544117647058,6692,Total fat (gm)
DR1TOT_J,DR1TSFAT,numeric,8704,1220,14.016544117647058,7209,Total saturated fatty acids (gm)
DR1TOT_J,DR1TMFAT,numeric,8704,1220,14.016544117647058,7243,Total monounsaturated fatty acids (gm)
DR1TOT_J,DR1TPFAT,numeric,8704,1220,14.016544117647058,7128,Total polyunsaturated fatty acids (gm)
DR1TOT_J,DR1TCHOL,numeric,8704,1220,14.016544117647058,971,Cholesterol (mg)
DR1TOT_J,DR1TATOC,numeric,8704,1220,14.016544117647058,3602,Vitamin E as alpha-tocopherol (mg)
DR1TOT_J,DR1TATOA,numeric,8704,1220,14.016544117647058,582,Added alpha-tocopherol (Vitamin E) (mg)
DR1TOT_J,DR1TRET,numeric,8704,1220,14.016544117647058,1339,Retinol (mcg)
DR1TOT_J,DR1TVARA,numeric,8704,1220,14.016544117647058,1691,"Vitamin A, RAE (mcg)"
DR1TOT_J,DR1TACAR,numeric,8704,1220,14.016544117647058,1340,Alpha-carotene (mcg)
DR1TOT_J,DR1TBCAR,numeric,8704,1220,14.016544117647058,3197,Beta-carotene (mcg)
DR1TOT_J,DR1TCRYP,numeric,8704,1220,14.016544117647058,623,Beta-cryptoxanthin (mcg)
DR1TOT_J,DR1TLYCO,numeric,8704,1220,14.016544117647058,3497,Lycopene (mcg)
DR1TOT_J,DR1TLZ,numeric,8704,1220,14.016544117647058,2611,Lutein + zeaxanthin (mcg)
DR1TOT_J,DR1TVB1,numeric,8704,1220,14.016544117647058,4603,Thiamin (Vitamin B1) (mg)
DR1TOT_J,DR1TVB2,numeric,8704,1220,14.016544117647058,5004,Riboflavin (Vitamin B2) (mg)
DR1TOT_J,DR1TNIAC,numeric,8704,1220,14.016544117647058,7180,Niacin (mg)
DR1TOT_J,DR1TVB6,numeric,8704,1220,14.016544117647058,5028,Vitamin B6 (mg)
DR1TOT_J,DR1TFOLA,numeric,8704,1220,14.016544117647058,1040,Total folate (mcg)
DR1TOT_J,DR1TFA,numeric,8704,1220,14.016544117647058,739,Folic acid (mcg)
DR1TOT_J,DR1TFF,numeric,8704,1220,14.016544117647058,664,Food folate (mcg)
DR1TOT_J,DR1TFDFE,numeric,8704,1220,14.016544117647058,1335,"Folate, DFE (mcg)"
